| epoch   1 |   200/ 9234 batches | lr 0.0010 | ms/batch 20.66 | loss  6.03 | ppl   417.32
| epoch   1 |   400/ 9234 batches | lr 0.0010 | ms/batch 20.52 | loss  5.41 | ppl   224.45
| epoch   1 |   600/ 9234 batches | lr 0.0010 | ms/batch 19.70 | loss  5.18 | ppl   177.60
| epoch   1 |   800/ 9234 batches | lr 0.0010 | ms/batch 21.18 | loss  5.02 | ppl   151.75
| epoch   1 |  1000/ 9234 batches | lr 0.0010 | ms/batch 20.06 | loss  4.85 | ppl   127.15
| epoch   1 |  1200/ 9234 batches | lr 0.0010 | ms/batch 21.13 | loss  4.77 | ppl   117.83
| epoch   1 |  1400/ 9234 batches | lr 0.0010 | ms/batch 20.41 | loss  4.67 | ppl   106.64
| epoch   1 |  1600/ 9234 batches | lr 0.0010 | ms/batch 21.59 | loss  4.65 | ppl   104.88
| epoch   1 |  1800/ 9234 batches | lr 0.0010 | ms/batch 21.55 | loss  4.61 | ppl   100.68
| epoch   1 |  2000/ 9234 batches | lr 0.0010 | ms/batch 20.75 | loss  4.53 | ppl    92.53
| epoch   1 |  2200/ 9234 batches | lr 0.0010 | ms/batch 20.43 | loss  4.51 | ppl    91.31
| epoch   1 |  2400/ 9234 batches | lr 0.0010 | ms/batch 20.09 | loss  4.45 | ppl    85.74
| epoch   1 |  2600/ 9234 batches | lr 0.0010 | ms/batch 21.28 | loss  4.45 | ppl    85.67
| epoch   1 |  2800/ 9234 batches | lr 0.0010 | ms/batch 20.65 | loss  4.44 | ppl    84.64
| epoch   1 |  3000/ 9234 batches | lr 0.0010 | ms/batch 20.62 | loss  4.38 | ppl    79.75
| epoch   1 |  3200/ 9234 batches | lr 0.0010 | ms/batch 22.78 | loss  4.42 | ppl    83.30
| epoch   1 |  3400/ 9234 batches | lr 0.0010 | ms/batch 21.57 | loss  4.37 | ppl    78.73
| epoch   1 |  3600/ 9234 batches | lr 0.0010 | ms/batch 20.15 | loss  4.36 | ppl    78.44
| epoch   1 |  3800/ 9234 batches | lr 0.0010 | ms/batch 22.04 | loss  4.38 | ppl    79.90
| epoch   1 |  4000/ 9234 batches | lr 0.0010 | ms/batch 21.14 | loss  4.32 | ppl    75.50
| epoch   1 |  4200/ 9234 batches | lr 0.0010 | ms/batch 21.32 | loss  4.32 | ppl    75.34
| epoch   1 |  4400/ 9234 batches | lr 0.0010 | ms/batch 20.86 | loss  4.30 | ppl    73.89
| epoch   1 |  4600/ 9234 batches | lr 0.0010 | ms/batch 21.49 | loss  4.31 | ppl    74.80
