| epoch   2 |  2200/ 9234 batches | lr 0.0010 | ms/batch 17.26 | loss  4.20 | ppl    66.40
| epoch   2 |  2400/ 9234 batches | lr 0.0010 | ms/batch 16.93 | loss  4.17 | ppl    64.44
| epoch   2 |  2600/ 9234 batches | lr 0.0010 | ms/batch 18.00 | loss  4.19 | ppl    66.26
| epoch   2 |  2800/ 9234 batches | lr 0.0010 | ms/batch 17.21 | loss  4.19 | ppl    65.83
| epoch   2 |  3000/ 9234 batches | lr 0.0010 | ms/batch 16.90 | loss  4.14 | ppl    62.96
| epoch   2 |  3200/ 9234 batches | lr 0.0010 | ms/batch 17.68 | loss  4.17 | ppl    64.92
| epoch   2 |  3400/ 9234 batches | lr 0.0010 | ms/batch 17.08 | loss  4.14 | ppl    62.61
| epoch   2 |  3600/ 9234 batches | lr 0.0010 | ms/batch 17.55 | loss  4.17 | ppl    64.59
| epoch   2 |  3800/ 9234 batches | lr 0.0010 | ms/batch 17.56 | loss  4.16 | ppl    63.82
| epoch   2 |  4000/ 9234 batches | lr 0.0010 | ms/batch 17.35 | loss  4.15 | ppl    63.56
| epoch   2 |  4200/ 9234 batches | lr 0.0010 | ms/batch 17.67 | loss  4.19 | ppl    65.72
| epoch   2 |  4400/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  4.15 | ppl    63.59
| epoch   2 |  4600/ 9234 batches | lr 0.0010 | ms/batch 17.36 | loss  4.14 | ppl    62.80
| epoch   2 |  4800/ 9234 batches | lr 0.0010 | ms/batch 17.49 | loss  4.15 | ppl    63.25
| epoch   2 |  5000/ 9234 batches | lr 0.0010 | ms/batch 16.80 | loss  4.16 | ppl    64.01
| epoch   2 |  5200/ 9234 batches | lr 0.0010 | ms/batch 16.71 | loss  4.11 | ppl    61.00
| epoch   2 |  5400/ 9234 batches | lr 0.0010 | ms/batch 16.44 | loss  4.13 | ppl    62.39
| epoch   2 |  5600/ 9234 batches | lr 0.0010 | ms/batch 17.64 | loss  4.15 | ppl    63.55
| epoch   2 |  5800/ 9234 batches | lr 0.0010 | ms/batch 16.86 | loss  4.14 | ppl    62.53
| epoch   2 |  6000/ 9234 batches | lr 0.0010 | ms/batch 17.56 | loss  4.14 | ppl    62.62
| epoch   2 |  6200/ 9234 batches | lr 0.0010 | ms/batch 16.80 | loss  4.11 | ppl    61.13
| epoch   2 |  6400/ 9234 batches | lr 0.0010 | ms/batch 18.39 | loss  4.13 | ppl    62.40
| epoch   2 |  6600/ 9234 batches | lr 0.0010 | ms/batch 17.24 | loss  4.11 | ppl    61.04
| epoch   2 |  6800/ 9234 batches | lr 0.0010 | ms/batch 16.83 | loss  4.11 | ppl    61.17
