| epoch   1 |   200/ 9234 batches | lr 0.0010 | ms/batch 20.28 | loss  6.19 | ppl   489.35
| epoch   1 |   400/ 9234 batches | lr 0.0010 | ms/batch 19.28 | loss  5.60 | ppl   270.45
| epoch   1 |   600/ 9234 batches | lr 0.0010 | ms/batch 20.42 | loss  5.43 | ppl   228.80
| epoch   1 |   800/ 9234 batches | lr 0.0010 | ms/batch 19.37 | loss  5.28 | ppl   195.57
| epoch   1 |  1000/ 9234 batches | lr 0.0010 | ms/batch 19.12 | loss  5.14 | ppl   171.54
| epoch   1 |  1200/ 9234 batches | lr 0.0010 | ms/batch 20.00 | loss  5.09 | ppl   162.94
| epoch   1 |  1400/ 9234 batches | lr 0.0010 | ms/batch 19.77 | loss  5.03 | ppl   152.84
| epoch   1 |  1600/ 9234 batches | lr 0.0010 | ms/batch 18.95 | loss  4.94 | ppl   139.43
| epoch   1 |  1800/ 9234 batches | lr 0.0010 | ms/batch 19.55 | loss  4.91 | ppl   136.10
| epoch   1 |  2000/ 9234 batches | lr 0.0010 | ms/batch 19.82 | loss  4.84 | ppl   127.01
| epoch   1 |  2200/ 9234 batches | lr 0.0010 | ms/batch 18.56 | loss  4.80 | ppl   121.75
| epoch   1 |  2400/ 9234 batches | lr 0.0010 | ms/batch 19.01 | loss  4.74 | ppl   114.11
| epoch   1 |  2600/ 9234 batches | lr 0.0010 | ms/batch 19.65 | loss  4.78 | ppl   118.67
| epoch   1 |  2800/ 9234 batches | lr 0.0010 | ms/batch 20.60 | loss  4.73 | ppl   113.49
| epoch   1 |  3000/ 9234 batches | lr 0.0010 | ms/batch 19.01 | loss  4.67 | ppl   107.07
| epoch   1 |  3200/ 9234 batches | lr 0.0010 | ms/batch 19.84 | loss  4.70 | ppl   109.56
| epoch   1 |  3400/ 9234 batches | lr 0.0010 | ms/batch 20.64 | loss  4.65 | ppl   105.06
| epoch   1 |  3600/ 9234 batches | lr 0.0010 | ms/batch 20.66 | loss  4.66 | ppl   105.50
| epoch   1 |  3800/ 9234 batches | lr 0.0010 | ms/batch 20.98 | loss  4.66 | ppl   105.47
| epoch   1 |  4000/ 9234 batches | lr 0.0010 | ms/batch 19.89 | loss  4.59 | ppl    98.69
| epoch   1 |  4200/ 9234 batches | lr 0.0010 | ms/batch 19.18 | loss  4.62 | ppl   101.56
| epoch   1 |  4400/ 9234 batches | lr 0.0010 | ms/batch 20.08 | loss  4.61 | ppl   100.16
| epoch   1 |  4600/ 9234 batches | lr 0.0010 | ms/batch 19.73 | loss  4.55 | ppl    94.67
| epoch   1 |  4800/ 9234 batches | lr 0.0010 | ms/batch 20.50 | loss  4.58 | ppl    97.19
| epoch   1 |  5000/ 9234 batches | lr 0.0010 | ms/batch 20.24 | loss  4.54 | ppl    93.38
| epoch   1 |  5200/ 9234 batches | lr 0.0010 | ms/batch 20.75 | loss  4.54 | ppl    93.93
| epoch   1 |  5400/ 9234 batches | lr 0.0010 | ms/batch 20.55 | loss  4.54 | ppl    93.81
| epoch   1 |  5600/ 9234 batches | lr 0.0010 | ms/batch 20.47 | loss  4.51 | ppl    91.23
| epoch   1 |  5800/ 9234 batches | lr 0.0010 | ms/batch 19.36 | loss  4.48 | ppl    88.10
| epoch   1 |  6000/ 9234 batches | lr 0.0010 | ms/batch 20.21 | loss  4.53 | ppl    92.38
| epoch   1 |  6200/ 9234 batches | lr 0.0010 | ms/batch 20.25 | loss  4.52 | ppl    91.45
| epoch   1 |  6400/ 9234 batches | lr 0.0010 | ms/batch 20.24 | loss  4.50 | ppl    89.70
| epoch   1 |  6600/ 9234 batches | lr 0.0010 | ms/batch 19.76 | loss  4.46 | ppl    86.26
| epoch   1 |  6800/ 9234 batches | lr 0.0010 | ms/batch 20.52 | loss  4.50 | ppl    89.91
| epoch   1 |  7000/ 9234 batches | lr 0.0010 | ms/batch 19.28 | loss  4.41 | ppl    82.57
| epoch   1 |  7200/ 9234 batches | lr 0.0010 | ms/batch 20.00 | loss  4.44 | ppl    84.94
| epoch   1 |  7400/ 9234 batches | lr 0.0010 | ms/batch 19.23 | loss  4.42 | ppl    83.12
| epoch   1 |  7600/ 9234 batches | lr 0.0010 | ms/batch 19.32 | loss  4.41 | ppl    82.63
| epoch   1 |  7800/ 9234 batches | lr 0.0010 | ms/batch 20.41 | loss  4.43 | ppl    84.22
| epoch   1 |  8000/ 9234 batches | lr 0.0010 | ms/batch 19.97 | loss  4.38 | ppl    79.74
| epoch   1 |  8200/ 9234 batches | lr 0.0010 | ms/batch 20.42 | loss  4.44 | ppl    84.37
| epoch   1 |  8400/ 9234 batches | lr 0.0010 | ms/batch 20.05 | loss  4.40 | ppl    81.32
| epoch   1 |  8600/ 9234 batches | lr 0.0010 | ms/batch 19.63 | loss  4.43 | ppl    84.00
| epoch   1 |  8800/ 9234 batches | lr 0.0010 | ms/batch 19.30 | loss  4.38 | ppl    80.17
| epoch   1 |  9000/ 9234 batches | lr 0.0010 | ms/batch 20.36 | loss  4.37 | ppl    79.19
| epoch   1 |  9200/ 9234 batches | lr 0.0010 | ms/batch 20.11 | loss  4.40 | ppl    81.61
------------
| end of epoch   1 | time: 196.06s | valid loss  4.34 | valid ppl    76.82
------------
| epoch   2 |   200/ 9234 batches | lr 0.0010 | ms/batch 19.61 | loss  4.37 | ppl    79.21
| epoch   2 |   400/ 9234 batches | lr 0.0010 | ms/batch 19.68 | loss  4.34 | ppl    77.08
| epoch   2 |   600/ 9234 batches | lr 0.0010 | ms/batch 20.09 | loss  4.35 | ppl    77.22
| epoch   2 |   800/ 9234 batches | lr 0.0010 | ms/batch 20.99 | loss  4.35 | ppl    77.76
| epoch   2 |  1000/ 9234 batches | lr 0.0010 | ms/batch 20.00 | loss  4.35 | ppl    77.44
| epoch   2 |  1200/ 9234 batches | lr 0.0010 | ms/batch 19.61 | loss  4.33 | ppl    76.03
| epoch   2 |  1400/ 9234 batches | lr 0.0010 | ms/batch 20.39 | loss  4.36 | ppl    78.01
| epoch   2 |  1600/ 9234 batches | lr 0.0010 | ms/batch 19.48 | loss  4.35 | ppl    77.44
| epoch   2 |  1800/ 9234 batches | lr 0.0010 | ms/batch 19.81 | loss  4.33 | ppl    76.15
